Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2270","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","57.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","189","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","25","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","53","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","0.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3296","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","112.89","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1001","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","16","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","3","Albania","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","3","Albania","5911","Export Quantity","2734","Poultry Meat","2018","2018","","","",""
"FBS","Food Balances (2010-)","3","Albania","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","27","S","Standardized data"
